plant_id,company,country,status,claim_id,kind,product,value_t_per_year,value_native,as_of,basis,scope,chem,scale,bundle,duplicate_of,supersedes,superseded_by,target_date,counted_operating,counted_pipeline,counted_upper_only,public_confidence,caveats,note,source_tier,source_publisher,source_type,source_date,source_url,source_count,source_ids,source_urls,source_roles
p002,Hubei Wanrun New Energy (湖北万润),China,Operating,p002.c5,capacity,CAM,9000,,2024-09-25,planned,site,LFP,commercial,,,,,2028,,Y,,Low,,"US South Carolina plan: 50,000 t/y LFP total, phase 1 9,000 t/y (only the committed phase is counted; '分期开展建设').",trade,SMM,trade press,2024-09-25,https://news.smm.cn/news/102967450,1,s_wanrun_us,https://news.smm.cn/news/102967450,
p002,Hubei Wanrun New Energy (湖北万润),China,Operating,p002.c6,capacity,CAM,468000,,2026-05,built,company,LFP,commercial,,,p002.c2,,,Y,,,Medium,,"Company IR record (May 2026, exchange-disclosed; relayed verbatim by Securities Times): '目前公司磷酸铁锂已实现投产产能46.80万吨/年' — 468,000 t/y IN PRODUCTION. Per-base (Q3-2024 briefing): Hubei 311k + Anhui 37k + Shandong 120k. Resolves the g07 Wanrun item: value unchanged, tier trade → company.",company,证券时报 (relaying the May-2026 exchange-disclosed IR record),company IR statement via press,2026-07-22,https://www.stcn.com/article/detail/4033487.html,1,s_wanrun_ir0526,https://www.stcn.com/article/detail/4033487.html,
p002,Hubei Wanrun New Energy (湖北万润),China,Operating,p002.c7,capacity,CAM,70000,,2026-01-17,construction,site,LFP,commercial,,,,,,,Y,,High,,"Hongmai Gaoke 70,000 t/y high-compaction LFP project, Liuliping Industrial Park, Danjiangkou (Shiyan) — sponsor-verified filing, board-approved Jan 2026, ~12-month build.",primary,SSE (QQ mirror),sponsor verification opinion,2026-01-17,https://file.finance.qq.com/finance/hs/pdf/2026/01/17/1224938478.PDF,1,s_wanrun_hongmai,https://file.finance.qq.com/finance/hs/pdf/2026/01/17/1224938478.PDF,
p003,Shenzhen Dynanonic / Defang (德方纳米),China,Operating,p003.c1,capacity,CAM,345000,,2025,reported,company,LFP,commercial,,,,p003.c3,,,,,Medium,"superseded by p003.c3 — shown for history, counts toward no total; row-level seed source — figure-level re-sourcing pending",LFP ~345 kt by 2025 (SELPS liquid-phase route),company,www.dynanonic.com,company website,,https://www.dynanonic.com/enabout.aspx?id=90,1,s050,https://www.dynanonic.com/enabout.aspx?id=90,
p003,Shenzhen Dynanonic / Defang (德方纳米),China,Operating,p003.c2,capacity,CAM,110000,,2022,built,site,LMFP,commercial,,,,,,,,,Medium,row-level seed source — figure-level re-sourcing pending,Qujing plant — world-first >100 kt LMFP plant (2022),company,www.dynanonic.com,company website,,https://www.dynanonic.com/enabout.aspx?id=90,1,s050,https://www.dynanonic.com/enabout.aspx?id=90,
p003,Shenzhen Dynanonic / Defang (德方纳米),China,Operating,p003.c3,capacity,CAM,450000,,2025-12-31,built,company,L(M)FP-unsplit,commercial,,,p003.c1,,,Y,,,High,,"FY2025 AR: '公司已建成磷酸盐系正极材料产能 45 万吨/年' — 450,000 t/y built, phosphate-FAMILY (nano-LFP + LMFP, no split published). Spot-verified. Utilization table (different measure, monthly-summed): 333,625 t effective, 85.66%, 53,333 t in construction. IR record Oct-2025: 37万吨 built + 8万吨 commissioning — consistent if commissioning finished by year-end. Supersedes the seed's LFP-only 345k.",primary,SZSE (10jqka mirror),annual report,2026-04-29,http://notice.10jqka.com.cn/api/pdf/4e61ab4249c7399f.pdf,1,s_dyn_ar25,http://notice.10jqka.com.cn/api/pdf/4e61ab4249c7399f.pdf,
p003,Shenzhen Dynanonic / Defang (德方纳米),China,Operating,p003.c4,shipments,CAM,280000,,2025,reported,company,L(M)FP-unsplit,commercial,,,,,,,,,High,"market observation, not nameplate","FY2025 AR: 销量 28.00万吨 (+24.04%); 产量 28.58万吨 (+20.76%), phosphate-family CAM.",primary,SZSE (10jqka mirror),annual report,2026-04-29,http://notice.10jqka.com.cn/api/pdf/4e61ab4249c7399f.pdf,1,s_dyn_ar25,http://notice.10jqka.com.cn/api/pdf/4e61ab4249c7399f.pdf,
p004,Jiangsu Lopal / Changzhou Liyuan LBM (龙蟠·常州锂源),China,Operating,p004.c1,capacity,CAM,310000,,,reported,company,LFP,commercial,,,,p004.c8,,,,,Low,"superseded by p004.c8 — shown for history, counts toward no total; row-level seed source — figure-level re-sourcing pending; no vintage stated in seed",~310 kt; Top-5; acquired BTR's LFP business,company,en.liyuanen.com,company website,,https://en.liyuanen.com/,1,s051,https://en.liyuanen.com/,
p004,Jiangsu Lopal / Changzhou Liyuan LBM (龙蟠·常州锂源),China,Operating,p004.c2,capacity,CAM,600000,,,target,company,LFP,commercial,,,,,,,,,Low,row-level seed source — figure-level re-sourcing pending; no vintage stated in seed; company target — counts toward no total,company target; supersedes nothing — expansion goal,company,en.liyuanen.com,company website,,https://en.liyuanen.com/,1,s051,https://en.liyuanen.com/,
p004,Jiangsu Lopal / Changzhou Liyuan LBM (龙蟠·常州锂源),China,Operating,p004.c3,qualitative,CAM,,,,announced,site,LFP,commercial,,,,,,,,,Medium,,Indonesia plant — first Chinese LFP-CAM maker to build overseas; no figure in seed,company,en.liyuanen.com,company website,,https://en.liyuanen.com/,1,s051,https://en.liyuanen.com/,
p004,Jiangsu Lopal / Changzhou Liyuan LBM (龙蟠·常州锂源),China,Operating,p004.c4,shipments,CAM,202481,,2025,reported,company,LFP,commercial,,,,,,,,,High,"market observation, not nameplate","FY2025 AR: LFP 销售量 202,480.88 t; 生产量 202,115.13 t. Six bases incl. Semarang, Indonesia. The AR's reachable portion publishes no group capacity total — the seed's ~310k company figure stands unconfirmed by filing (flagged).",primary,SSE / CNINFO,annual report,2026-04-24,http://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260424/7d95dbe4155d44f09a2d611e4d71a485.PDF,1,s_lopal_ar25,http://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260424/7d95dbe4155d44f09a2d611e4d71a485.PDF,
p004,Jiangsu Lopal / Changzhou Liyuan LBM (龙蟠·常州锂源),China,Operating,p004.c5,capacity,CAM,90000,,2026-05-25,construction,site,LFP,commercial,,,,,,,Y,,Low,,"Indonesia Semarang phase 2: 90,000 t under construction, in installation/commissioning (company investor-platform reply, May 2026). CONFLICT: EnergyTrend (Dec 2025) had phase 2 = 62,500 t 'completed' — later-dated company statement carried.",trade,NBD (每日经济新闻),trade press (company investor-platform reply),2026-05-25,https://www.nbd.com.cn/articles/2026-05-25/4407632.html,1,s_lopal_ph2,https://www.nbd.com.cn/articles/2026-05-25/4407632.html,
p004,Jiangsu Lopal / Changzhou Liyuan LBM (龙蟠·常州锂源),China,Operating,p004.c6,capacity,CAM,100000,,2025-12-24,construction,site,LFP,commercial,,,,,2026,,Y,,Low,,"Indonesia Semarang phase 3 raised 62,500 → 100,000 t/y (announcement of 2025-12-24; completion expected May 2026 — not yet confirmed complete).",trade,NBD (每日经济新闻),trade press (quoting SSE/HKEX announcement),2025-12-24,https://www.nbd.com.cn/articles/2025-12-24/4193800.html,1,s_lopal_ph3,https://www.nbd.com.cn/articles/2025-12-24/4193800.html,
p004,Jiangsu Lopal / Changzhou Liyuan LBM (龙蟠·常州锂源),China,Operating,p004.c7,capacity,CAM,120000,,2026-06-10,planned,site,LFP,commercial,,,,,2027,,Y,,High,,"NEW Batang (Central Java) plant: 120,000 t/y gen-2/3 LFP, USD 160m, construction start expected Jul 2026, 12-month build (HKEX filing 2026-06-10).",primary,HKEX,exchange announcement,2026-06-10,https://www.hkexnews.hk/listedco/listconews/sehk/2026/0610/2026061001481_c.pdf,1,s_lopal_batang,https://www.hkexnews.hk/listedco/listconews/sehk/2026/0610/2026061001481_c.pdf,
p004,Jiangsu Lopal / Changzhou Liyuan LBM (龙蟠·常州锂源),China,Operating,p004.c8,capacity,CAM,200670,,2023-12-31,built,company,LFP,commercial,,,p004.c1,,,Y,,,High,,"H-share IPO prospectus designed-capacity table: FY2023 designed capacity 200,670.2 t/y (utilization 57.6%); H1-2024 six-month designed capacity 110,633.4 t (~221 kt/y annualised); five China plants (Jintan, Baodi, Pengxi, Heze, Xiangyang) + Semarang. Global #4, 6.5% share. The seed/website '~310 kt' is NOT restated in any located filing and is retired as an unverified aggregate (FY2025 output 202.1 kt). CONFLICT logged: H-share FY2025 results quote 'sales 202,115 t' where the A-share AR calls that figure production.",primary,HKEX (iqdii mirror of the prospectus),IPO prospectus,2024-10-22,https://statichk.iqdii.com/stockdata/notice/02465/2024/2024102200008_c.pdf,1,s_lopal_prosp,https://statichk.iqdii.com/stockdata/notice/02465/2024/2024102200008_c.pdf,
p004,Jiangsu Lopal / Changzhou Liyuan LBM (龙蟠·常州锂源),China,Operating,p004.c9,capacity,CAM,120000,,2026-05-12,construction,site,LFP,commercial,,,,,,,Y,,Medium,,"Jintan (Changzhou) 120,000 t high-compaction LFP base — 常州锂源 B-round RMB 440m contractually restricted to this project (HKEX announcement 2026-05-11). The A-share placement's 110k + 85k 磷酸盐 projects may overlap with this and are NOT counted (unresolved).",company,Sina (relaying HKEX announcement 2026-05-11),exchange announcement via press,2026-05-12,https://finance.sina.com.cn/stock/hkstock/ggscyd/2026-05-12/doc-inhxqvat8525840.shtml,1,s_lopal_jintan,https://finance.sina.com.cn/stock/hkstock/ggscyd/2026-05-12/doc-inhxqvat8525840.shtml,
p005,Guizhou Anda Technology (贵州安达),China,Operating,p005.c1,capacity,CAM,150000,,,reported,company,LFP,commercial,bundle,,,p005.c2,,,,,Low,"superseded by p005.c2 — shown for history, counts toward no total; row-level seed source — figure-level re-sourcing pending; no vintage stated in seed; bundle — non-CAM or mixed tonnage inside",~150 kt LFP + iron-phosphate — BUNDLE (precursor lines inside); upper band only,trade,EnergyTrend (TrendForce),trade press,2023-03-29,https://www.energytrend.com/news/20230329-31590.html,1,s052,https://www.energytrend.com/news/20230329-31590.html,
p005,Guizhou Anda Technology (贵州安达),China,Operating,p005.c2,capacity,CAM,150000,,2025-12-31,built,company,LFP,commercial,,,p005.c1,,,Y,,,High,,"CORRECTION of the seed bundle: filing 2025-112 states SEPARATELY '15万吨/年磷酸铁及15万吨/年磷酸铁锂产能' — 150,000 t/y LFP CAM (this claim) AND 150,000 t/y FePO4 (own claim). Restated as of end-2025 in the FY2025 AR. Utilization >95% excl. lines under retrofit; Q1-2026 effective capacity 110,000 t during technical upgrades. Listed venue renumbered BSE 830809 → 920809.",primary,BSE / CNINFO (Qixin mirror),filed IR activity record,2025-11-11,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/4c52c2fcb56c4edbc5717635a1f2384f.pdf,1,s_anda_ir112,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/4c52c2fcb56c4edbc5717635a1f2384f.pdf,
p005,Guizhou Anda Technology (贵州安达),China,Operating,p005.c3,capacity,FePO4,150000,,2025-12-31,built,company,FePO4,commercial,,,,,,,,,High,,"Filing 2025-112 / FY2025 AR: 150,000 t/y iron-phosphate precursor capacity (separate from the LFP CAM lines).",primary,BSE / CNINFO (Qixin mirror),filed IR activity record,2025-11-11,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/4c52c2fcb56c4edbc5717635a1f2384f.pdf,1,s_anda_ir112,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/4c52c2fcb56c4edbc5717635a1f2384f.pdf,
p005,Guizhou Anda Technology (贵州安达),China,Operating,p005.c4,capacity,CAM,240000,,2025-11-11,construction,company,LFP,commercial,,,,,,,Y,,High,,"Filing 2025-112: '在建项目有24万吨/年磷酸铁锂项目' — 240,000 t/y LFP under construction (2027 target ~350 kt total per IR). The separate 450 kt/y PRECURSOR project (phase 1 300 kt, completion slipped Jun→Oct 2026) is FePO4 and not counted here.",primary,BSE / CNINFO (Qixin mirror),filed IR activity record,2025-11-11,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/4c52c2fcb56c4edbc5717635a1f2384f.pdf,1,s_anda_ir112,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/4c52c2fcb56c4edbc5717635a1f2384f.pdf,
p005,Guizhou Anda Technology (贵州安达),China,Operating,p005.c5,shipments,CAM,111100,,2025,reported,company,LFP,commercial,,,,,,,,,Low,"market observation, not nameplate","FY2025 (via 10jqka quoting the AR): LFP sales 11.11万吨, +150% YoY; revenue +131%; Q1-2026 returned to profit after 12 loss-making quarters.",trade,10jqka (quoting FY2025 AR),trade press,2026-04-29,https://news.10jqka.com.cn/20260429/c676383927.shtml,1,s_anda_ar25,https://news.10jqka.com.cn/20260429/c676383927.shtml,
p006,Fulin Precision / Jiangxi Shenghua (富临精工·升华),China,Operating,p006.c1,capacity,CAM,300000,,,reported,company,LFP,commercial,,,,p006.c3,,,,,Low,"superseded by p006.c3 — shown for history, counts toward no total; row-level seed source — figure-level re-sourcing pending; no vintage stated in seed",~300 kt (high-tap-density LFP); seed source is a build announcement,trade,Yicai Global,trade press,,https://www.yicaiglobal.com/news/catl-backed-shenghua-to-build-two-high-tap-density-lfp-plants-for-usd8448-million,1,s053,https://www.yicaiglobal.com/news/catl-backed-shenghua-to-build-two-high-tap-density-lfp-plants-for-usd8448-million,
p006,Fulin Precision / Jiangxi Shenghua (富临精工·升华),China,Operating,p006.c2,output,CAM,128000,,2024,reported,company,LFP,commercial,,,,,,,,,Low,"row-level seed source — figure-level re-sourcing pending; market observation, not nameplate",128 kt produced 2024,trade,Yicai Global,trade press,,https://www.yicaiglobal.com/news/catl-backed-shenghua-to-build-two-high-tap-density-lfp-plants-for-usd8448-million,1,s053,https://www.yicaiglobal.com/news/catl-backed-shenghua-to-build-two-high-tap-density-lfp-plants-for-usd8448-million,
p006,Fulin Precision / Jiangxi Shenghua (富临精工·升华),China,Operating,p006.c3,capacity,CAM,300000,,2026-04,built,company,LFP,commercial,,,p006.c1,,,Y,,,High,,"FY2025 AR: '江西升华现有高压实密度磷酸铁锂正极材料产能 30 万吨' — 300,000 t/y existing. Source upgraded trade→filing, value unchanged.",primary,SZSE (Sina mirror),annual report,2026-04-29,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-29/12268128.PDF,1,s_fulin_ar25,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-29/12268128.PDF,
p006,Fulin Precision / Jiangxi Shenghua (富临精工·升华),China,Operating,p006.c4,shipments,CAM,273828,,2025,reported,company,LFP,commercial,,,,,,,,,High,"market observation, not nameplate","FY2025 AR: 销售量 273,827.64 t (+117.06%); 生产量 273,795.32 t. The seed's 128 kt output-2024 figure matches the AR's 2024 comparative (128,239.75 t).",primary,SZSE (Sina mirror),annual report,2026-04-29,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-29/12268128.PDF,1,s_fulin_ar25,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-29/12268128.PDF,
p006,Fulin Precision / Jiangxi Shenghua (富临精工·升华),China,Operating,p006.c5,capacity,CAM,350000,,2026-04-29,planned,site,LFP,commercial,,,,,,,Y,,High,,"AR summary: 350,000 t/y new high-compaction LFP project, Deyang–Aba park. A further '年产50万吨高端储能用磷酸铁锂' is 'being advanced' with unclear overlap — noted, not counted.",primary,SZSE (Sina mirror),annual report summary,2026-04-29,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-29/12268129.PDF,1,s_fulin_sum25,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-29/12268129.PDF,
p006,Fulin Precision / Jiangxi Shenghua (富临精工·升华),China,Operating,p006.c6,capacity,CAM,175000,,2026-04-29,planned,site,LFP,commercial,,,,,,,Y,,High,,"AR summary: JV with Deyang Chuanfa Longmang — phase-1 175,000 t/y LFP project.",primary,SZSE (Sina mirror),annual report summary,2026-04-29,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-29/12268129.PDF,1,s_fulin_sum25,http://file.finance.sina.com.cn/211.154.219.97:9494/MRGG/CNSESZ_STOCK/2026/2026-4/2026-04-29/12268129.PDF,
p007,Rongtong Hi-Tech (融通高科),China,Operating,p007.c1,capacity,CAM,100000,,,reported,company,LFP,commercial,,,,p007.c2,,,,,Low,"superseded by p007.c2 — shown for history, counts toward no total; row-level seed source — figure-level re-sourcing pending; no vintage stated in seed; range — lower bound recorded",~100–145 kt — range; LOWER bound recorded; rank 10th 2024,trade,SMM (Shanghai Metals Market),trade press,,https://news.metal.com/newscontent/102781565,1,s054,https://news.metal.com/newscontent/102781565,
p007,Rongtong Hi-Tech (融通高科),China,Operating,p007.c2,capacity,CAM,300000,,2026-07,reported,company,LFP,commercial,,,p007.c1,p007.c4,,,,,Low,"superseded by p007.c4 — shown for history, counts toward no total","Historical v0.3 claim: the H1-2026 producer review reported ~300,000 t/y built/deployed within a 525,000 t/y planned total that explicitly includes LMFP. It superseded the seed's 100–145k range but was initially tagged LFP; p007.c4 corrects that chemistry scope. No filing-tier confirmation was accessible.",trade,起点锂电 via Sina Finance,trade press,2026-07-06,https://finance.sina.com.cn/wm/2026-07-06/doc-inifxatp1743108.shtml,1,s_rt_h1_26,https://finance.sina.com.cn/wm/2026-07-06/doc-inifxatp1743108.shtml,
p007,Rongtong Hi-Tech (融通高科),China,Operating,p007.c3,capacity,CAM,80000,,2025-01-17,construction,site,LFP,commercial,,,,,2026,,Y,,Low,,"India JV with Reliance (see p061): phase-1 80,000 t/y LFP plant, mass production was expected in March 2026 but remained unconfirmed at the August-2026 dataset date.",trade,SMM,trade press,2025-01-17,https://news.smm.cn/news/103144053,1,s_rt_india,https://news.smm.cn/news/103144053,
p007,Rongtong Hi-Tech (融通高科),China,Operating,p007.c4,capacity,CAM,300000,约30万吨/年,2026-07-06,reported,company,L(M)FP-unsplit,commercial,,,p007.c2,p007.c5,,,,,Low,"superseded by p007.c5 — shown for history, counts toward no total; stated as a floor","SPIR/起点锂电: '含磷酸锰铁锂品类在内，公司磷酸铁锂整体规划产能52.5万吨/年，当前已建成落地产能约30万吨/年' — approximately 300,000 t/y built/deployed across an unsplit LFP + LMFP company total. SPIR remained the only accessible source for the exact number. v0.3.5 supersedes this opaque aggregate with a smaller primary-evidenced site floor; the trade claim remains visible as correction history.",trade,起点锂电 via Sina Finance,trade press,2026-07-06,https://finance.sina.com.cn/wm/2026-07-06/doc-inifxatp1743108.shtml,4,s_rt_h1_26; s_rt_itdcw; s_rt_india; s_rt_top10exit,https://finance.sina.com.cn/wm/2026-07-06/doc-inifxatp1743108.shtml; https://www.itdcw.com/news/chuangtouyanjiu/0209153M62026.html; https://news.smm.cn/news/103144053; https://finance.sina.com.cn/roll/2026-01-30/doc-inhkakfm3646531.shtml,"s_rt_h1_26: Exact ~300,000 t/y built/deployed company-total figure; s_rt_itdcw: Financing, headquarters and three-base profile context; does not restate 300,000 t/y; s_rt_india: Company/base and India-JV context; does not restate 300,000 t/y; s_rt_top10exit: 2025 shipment-ranking conflict; not capacity evidence"
